"En Online Payment","پرداخت آنلاین بانک اقتصاد نوین"
"En Payment Gateway","درگاه پرداخت بانك اقتصاد نوین"
"En payment methods","درگاه پرداخت بانک اقتصاد نوین"
"Enabled","فعال است"
"Title","عنوان"
"Merchant ID","کد فروشنده"
"En Merchant Account ID","کدی که توسط پرداخت الکترونیک اقتصاد نوین به فروشنده اختصاص می یابد"
"Password","پسورد درگاه پرداخت"
"Gateway Password from En Bank","پسورد درگاه آنلاین که پرداخت الکترونیک اقتصاد نوین برای فروشنده ارسال کرده است"
"Order Status(after send request)","وضعيت سفارش (بعد از ارسال)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"Customer was redirected to En.","مشتری به بانک اقتصاد نوین فرستاده شد."
"The amount has been authorized and captured by En.","مبلغ تائید و توسط بانک اقتصاد نوین دریافت شد."
"An error occured during the payment process. The order has been canceled.","هنگام پرداخت مشکلی به وجود آمد و سفارش کنسل شد."
"You will be redirected to En website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وبسایت بانک اقتصاد نوین ارجاع داده خواهید شد."
"En payment methods","روش پرداخت اقتصاد نوین"
"En Info URL","آدرس اطلاعات  اقتصاد نوین"
"More information about En","اطلاعات بیشتر از بانک اقتصاد نوین"
"En Transaction ID: %s","شماره تراکنش اقتصاد نوین : %s"
"Your payment has been successfully processed by our shop system.","پرداخت شما با موفقیت توسط فروشگاه دریافت شد."
"Please click <a href=""%s"">here</a> if you are not redirected automatically.","اگر به صورت خودکار منتقل نشدید، <a href=""%s"">اینجا</a> کلیک کنید."
